Date,JPM_Close,Dividend,VIX_Close,Treasury_3M,Treasury_10Y
2018-01-02,85.9012680053711,0.0,9.770000457763672,1.42,2.46
2018-01-03,85.9887924194336,0.0,9.149999618530273,1.39,2.44
2018-01-04,87.22064208984375,0.56,9.220000267028809,1.39,2.46
2018-01-05,86.66072082519531,0.0,9.220000267028809,1.37,2.47
2018-01-08,86.78871154785156,0.0,9.520000457763672,1.43,2.49
2018-01-09,87.2286376953125,0.0,10.079999923706055,1.42,2.55
2018-01-10,88.18852233886719,0.0,9.819999694824219,1.4,2.55
2018-01-11,88.66045379638672,0.0,9.880000114440918,1.41,2.54
2018-01-12,90.12425994873047,0.0,10.15999984741211,1.41,2.55
2018-01-16,89.80430603027344,0.0,11.65999984741211,1.43,2.54
2018-01-17,90.38023376464844,0.0,11.90999984741211,1.42,2.57
2018-01-18,90.59619903564453,0.0,12.220000267028809,1.43,2.62
2018-01-19,90.396240234375,0.0,11.270000457763672,1.42,2.64
2018-01-22,91.45210266113281,0.0,11.029999732971191,1.43,2.66
2018-01-23,91.35611724853516,0.0,11.100000381469727,1.42,2.63
2018-01-24,92.52397918701172,0.0,11.470000267028809,1.41,2.65
2018-01-25,92.54793548583984,0.0,11.579999923706055,1.4,2.63
2018-01-26,93.04389190673828,0.0,11.079999923706055,1.39,2.66
2018-01-29,92.94791412353516,0.0,13.84000015258789,1.43,2.7
2018-01-30,92.07603454589844,0.0,14.789999961853027,1.42,2.73
2018-01-31,92.52397918701172,0.0,13.539999961853027,1.44,2.72
2018-02-01,93.48381805419922,0.0,13.470000267028809,1.46,2.78
2018-02-02,91.412109375,0.0,17.309999465942383,1.46,2.84
2018-02-05,87.02867889404297,0.0,37.31999969482422,1.49,2.77
2018-02-06,89.67630767822266,0.0,29.979999542236328,1.5,2.79
2018-02-07,90.28424072265625,0.0,27.729999542236328,1.53,2.84
2018-02-08,86.29277801513672,0.0,33.459999084472656,1.53,2.85
2018-02-09,88.02054595947266,0.0,29.059999465942383,1.53,2.83
2018-02-12,89.38037109375,0.0,25.610000610351562,1.61,2.86
