Date,market_price_close,occ_symbol,root,expiration,right,strike,volume,openInterest,liquidity_score
2026-04-13,6.550000190734863,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-14,6.050000190734863,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-15,3.700000047683716,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-16,4.550000190734863,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-17,5.150000095367432,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-20,7.25,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-21,6.150000095367432,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-22,5.670000076293945,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-23,4.949999809265137,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-24,3.5,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-27,4.599999904632568,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-28,4.0,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-29,3.0,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-04-30,4.380000114440918,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-01,4.03000020980835,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-04,2.390000104904175,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-05,2.630000114440918,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-06,4.239999771118164,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-07,1.5700000524520874,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-08,0.75,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-11,0.46000000834465027,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-12,0.8500000238418579,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
2026-05-13,0.3700000047683716,JPM260522C00320000,JPM,2026-05-22,C,320.0,3297.0,721.0,3369.1
